GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user,com.globallogic.user.apirest.configuration,ModelMapperConfiguration,0,7,0,0,0,2,0,2,0,2
user,com.globallogic.user.apirest.configuration,WebSecurityConfig,0,69,0,0,0,12,0,5,0,5
user,com.globallogic.user.apirest.configuration,GlobalExceptionHandler,52,3,2,0,8,1,4,1,3,1
user,com.globallogic.user.apirest.filter,JWTAuthorizationFilter,113,10,8,0,34,2,8,2,4,2
user,com.globallogic.user.apirest.filter,JWTAuthentication,0,45,0,0,0,17,0,2,0,2
user,com.globallogic.user.apirest.mapper,UserDTOMapper,0,31,0,0,0,5,0,4,0,4
user,com.globallogic.user.application.business,UserServiceImpl,0,48,0,2,0,10,0,3,0,2
user,com.globallogic.user.infrastructure.persistence.mapper,UserDAOMapper,0,31,0,0,0,5,0,4,0,4
user,com.globallogic.user.apirest,AuthController,0,25,0,0,0,4,0,2,0,2
user,com.globallogic.user.apirest,HelloController,0,21,0,0,0,5,0,3,0,3
user,com.globallogic.user.infrastructure.persistence,UserPersistenceAdapter,0,30,0,0,0,5,0,3,0,3
user,com.globallogic.user.infrastructure.utils.jwt,JWTUtils,0,24,0,2,0,5,0,3,0,2
